customer_id,age,gender,city,signup_date,membership_type
C000066,52,Male,Bangalore,2026-05-01,Standard
C000067,31,Female,Delhi,2026-03-19,Gold
C000068,34,Female,Hyderabad,2025-02-20,Standard
C000069,53,Female,Kochi,2025-05-29,Standard
C000070,67,Male,Ahmedabad,2025-04-02,Premium
C000071,57,Female,Pune,2026-01-03,Standard
C000072,21,Other,Kochi,2025-03-17,Standard
C000073,19,Female,Jaipur,2025-03-27,Standard
C000074,23,Female,Jaipur,2025-08-15,Premium
C000075,59,Female,Pune,2025-12-29,Gold
C000076,21,Male,Chennai,2025-01-24,Standard
C000077,46,Female,Jaipur,2025-01-28,Premium
C000078,35,Female,Chennai,2025-05-01,Standard
C000079,43,Male,Hyderabad,2026-05-05,Standard
C000080,61,Male,Pune,2025-12-11,Standard
C000081,51,Male,Chennai,2025-01-31,Gold
C000082,27,Female,Delhi,2025-08-15,Gold
C000083,53,Female,Chennai,2025-09-07,Standard
C000084,31,Male,Mumbai,2025-02-19,Standard
C000085,48,Male,Hyderabad,2026-01-24,Premium
C000086,65,Male,Delhi,2025-10-15,Gold
C000087,32,Male,Pune,2026-04-20,Gold
C000088,25,Male,Kolkata,2025-01-06,Standard
C000089,31,Female,Kochi,2026-02-16,Gold
C000090,40,Male,Ahmedabad,2025-11-20,Gold
C000091,57,Female,Jaipur,2026-02-03,Premium
C000092,38,Female,Mumbai,2025-10-09,Standard
C000093,33,Male,Mumbai,2025-07-10,Gold
C000094,62,Female,Kolkata,2026-05-15,Premium
C000095,35,Female,Kochi,2026-03-10,Standard
C000096,64,Female,Kochi,2025-03-04,Gold
C000097,70,Male,Jaipur,2026-03-29,Premium
C000098,41,Male,Chennai,2026-05-08,Standard
C000099,43,Male,Pune,2026-03-18,Gold
C000100,42,Male,Kochi,2025-11-03,Standard
C000101,62,Male,Kochi,2025-05-06,Standard
C000102,58,Male,Ahmedabad,2025-09-22,Standard
C000103,46,Male,Delhi,2025-01-07,Standard
C000104,32,Male,Delhi,2026-02-17,Gold
C000105,62,Male,Ahmedabad,2025-07-25,Standard
C000106,18,Male,Bangalore,2025-06-28,Premium
C000107,42,Other,Pune,2026-04-13,Standard
C000108,24,Male,Kochi,2026-05-11,Gold
C000109,26,Female,Jaipur,2026-03-19,Standard
C000110,41,Male,Pune,2025-08-16,Standard
C000111,18,Female,Kolkata,2025-05-26,Standard
C000112,61,Male,Mumbai,2025-10-23,Standard
C000113,25,Female,Kochi,2025-08-29,Gold
C000114,41,Female,Bangalore,2025-10-14,Gold
C000115,28,Male,Jaipur,2025-01-26,Gold
C000116,68,Female,Pune,2026-03-28,Gold
C000117,34,Female,Hyderabad,2025-04-16,Gold
C000118,25,Male,Mumbai,2025-08-28,Standard
C000119,52,Female,Kochi,2026-02-22,Standard
C000120,52,Female,Pune,2025-11-28,Gold
C000121,50,Female,Pune,2025-02-11,Standard
C000122,22,Male,Jaipur,2025-02-04,Standard
C000123,59,Female,Mumbai,2025-12-13,Standard
C000124,56,Female,Delhi,2026-01-19,Standard
C000125,58,Female,Delhi,2026-05-28,Standard
C000126,45,Female,Hyderabad,2025-10-15,Standard
C000127,24,Male,Chennai,2025-02-02,Standard
C000128,26,Female,Ahmedabad,2025-04-05,Standard
C000129,25,Male,Kochi,2025-07-24,Standard
C000130,29,Male,Jaipur,2025-01-30,Standard
C000131,51,Female,Kochi,2025-09-23,Standard
C000132,50,Female,Jaipur,2025-01-23,Gold
C000133,65,Male,Delhi,2025-02-08,Standard
C000134,40,Female,Jaipur,2025-06-22,Gold
C000135,41,Male,Mumbai,2026-02-17,Standard
C000136,54,Male,Chennai,2026-02-18,Standard
C000137,52,Female,Hyderabad,2025-07-28,Standard
C000138,61,Male,Bangalore,2025-01-22,Standard
C000139,57,Male,Delhi,2025-01-05,Standard
C000140,39,Male,Bangalore,2025-08-02,Gold
C000141,44,Female,Bangalore,2025-05-19,Gold
C000142,52,Male,Kolkata,2025-11-13,Standard
C000143,18,Male,Chennai,2025-06-05,Standard
C000144,52,Female,Ahmedabad,2026-02-28,Gold
C000145,54,Female,Pune,2026-05-15,Standard
C000146,64,Male,Mumbai,2025-04-01,Premium
C000147,31,Female,Jaipur,2025-02-11,Premium
C000148,20,Male,Kochi,2025-10-22,Gold
C000149,18,Other,Ahmedabad,2025-12-03,Standard
C000150,22,Male,Kochi,2025-01-01,Standard
C000151,43,Male,Hyderabad,2025-04-19,Premium
C000152,31,Male,Hyderabad,2025-05-05,Standard
C000153,56,Male,Mumbai,2025-03-05,Standard
C000154,44,Female,Jaipur,2025-07-25,Standard
C000155,26,Male,Jaipur,2026-02-19,Standard
C000156,32,Male,Delhi,2025-09-01,Gold
C000157,32,Female,Jaipur,2025-08-04,Premium
C000158,43,Female,Pune,2026-06-12,Gold
C000159,59,Male,Ahmedabad,2026-01-15,Gold
C000160,30,Male,Ahmedabad,2025-03-20,Standard
C000161,68,Male,Kochi,2026-02-19,Standard
C000162,49,Male,Kolkata,2026-03-29,Standard
C000163,56,Male,Mumbai,2025-05-29,Standard
C000164,66,Female,Mumbai,2025-02-07,Standard
C000165,69,Female,Pune,2025-06-06,Gold
C000166,49,Male,Jaipur,2025-11-29,Standard
C000167,21,Male,Kolkata,2025-10-15,Premium
C000168,47,Male,Delhi,2025-04-22,Premium
C000169,54,Male,Delhi,2025-04-01,Standard
C000170,40,Male,Ahmedabad,2025-02-18,Standard
C000171,56,Female,Pune,2025-06-10,Gold
C000172,62,Female,Bangalore,2026-05-31,Premium
C000173,32,Other,Bangalore,2026-02-06,Gold
C000174,60,Female,Jaipur,2025-11-16,Standard
C000175,46,Male,Ahmedabad,2025-12-30,Standard
C000176,53,Female,Pune,2026-03-18,Standard
C000177,30,Male,Bangalore,2026-04-20,Standard
C000178,49,Male,Chennai,2025-11-08,Standard
C000179,24,Female,Kochi,2026-06-16,Gold
C000180,68,Male,Hyderabad,2025-08-08,Standard
C000181,39,Female,Kochi,2026-05-12,Gold
C000182,45,Male,Hyderabad,2025-12-09,Standard
C000183,19,Female,Chennai,2025-04-04,Standard
C000184,59,Female,Chennai,2025-05-13,Standard
C000185,62,Female,Pune,2026-05-16,Standard
C000186,70,Female,Kolkata,2025-06-21,Gold
C000187,23,Male,Mumbai,2025-01-09,Standard
C000188,45,Female,Bangalore,2025-11-17,Gold
C000189,45,Other,Pune,2025-04-08,Premium
C000190,61,Female,Kolkata,2025-06-18,Gold
C000191,61,Female,Mumbai,2025-11-07,Standard
C000192,37,Female,Pune,2025-12-09,Standard
C000193,47,Female,Jaipur,2026-03-06,Standard
C000194,28,Female,Mumbai,2026-05-15,Standard
C000195,45,Female,Kochi,2025-10-12,Premium
C000196,42,Female,Mumbai,2025-09-17,Standard
C000197,56,Male,Kochi,2026-05-10,Gold
C000198,50,Male,Delhi,2025-12-21,Gold
C000199,18,Male,Hyderabad,2025-08-02,Premium
C000200,44,Male,Kochi,2025-07-19,Standard
C000201,69,Male,Chennai,2025-08-24,Standard
C000202,30,Female,Jaipur,2025-05-16,Standard
C000203,58,Male,Bangalore,2026-02-26,Gold
C000204,20,Male,Delhi,2025-12-07,Standard
C000205,56,Female,Delhi,2025-12-08,Standard
C000206,23,Other,Ahmedabad,2026-06-14,Standard
C000207,25,Female,Pune,2026-01-23,Standard
C000208,44,Other,Pune,2025-01-04,Standard
C000209,26,Female,Pune,2026-02-03,Standard
C000210,54,Male,Mumbai,2026-02-26,Premium
C000211,50,Female,Bangalore,2026-02-15,Standard
C000212,68,Female,Hyderabad,2025-08-01,Gold
C000213,59,Male,Kochi,2025-02-17,Gold
C000214,61,Male,Pune,2025-07-06,Standard
C000215,41,Female,Delhi,2026-05-17,Gold
C000216,32,Male,Kochi,2026-06-15,Standard
C000217,49,Female,Bangalore,2026-04-20,Gold
C000218,49,Male,Delhi,2025-02-11,Gold
C000219,41,Female,Chennai,2025-09-18,Gold
C000220,58,Female,Bangalore,2025-02-17,Standard
C000221,69,Male,Mumbai,2026-03-22,Standard
C000222,66,Male,Pune,2025-08-09,Gold
C000223,66,Female,Kolkata,2025-12-09,Gold
C000224,69,Female,Jaipur,2025-08-26,Gold
C000225,29,Female,Delhi,2025-06-04,Gold
C000226,56,Female,Ahmedabad,2025-02-25,Standard
C000227,19,Female,Ahmedabad,2026-01-22,Standard
C000228,20,Male,Jaipur,2025-11-11,Gold
C000229,66,Male,Hyderabad,2025-02-07,Gold
C000230,54,Male,Hyderabad,2025-12-07,Standard
C000231,66,Female,Jaipur,2025-08-19,Standard
C000232,34,Male,Kolkata,2026-03-28,Standard
C000233,66,Male,Mumbai,2025-12-08,Standard
C000234,19,Female,Bangalore,2026-03-29,Standard
C000235,19,Female,Kolkata,2025-09-14,Standard
C000236,45,Male,Kochi,2026-03-10,Standard
C000237,40,Male,Pune,2025-07-28,Standard
C000238,54,Male,Hyderabad,2025-07-20,Gold
C000239,49,Male,Delhi,2025-05-17,Standard
C000240,50,Female,Hyderabad,2026-01-29,Standard
C000241,18,Male,Ahmedabad,2025-02-05,Gold
C000242,36,Female,Delhi,2025-08-03,Gold
C000243,19,Female,Kochi,2025-01-27,Standard
C000244,70,Male,Kochi,2025-01-18,Premium
C000245,61,Other,Pune,2025-05-17,Standard
C000246,43,Male,Chennai,2025-01-30,Standard
C000247,49,Male,Ahmedabad,2025-03-14,Standard
C000248,23,Male,Jaipur,2025-05-03,Gold
C000249,49,Male,Hyderabad,2025-08-16,Standard
C000250,21,Male,Pune,2025-12-04,Standard
C000251,28,Male,Pune,2025-09-30,Standard
C000252,34,Female,Chennai,2026-03-13,Standard
C000253,55,Female,Kochi,2025-02-08,Standard
C000254,41,Female,Ahmedabad,2026-03-02,Standard
C000255,22,Male,Delhi,2025-11-11,Standard
C000256,69,Female,Ahmedabad,2026-05-24,Gold
C000257,51,Female,Ahmedabad,2025-06-06,Standard
C000258,23,Female,Hyderabad,2025-09-14,Gold
C000259,39,Female,Delhi,2026-04-01,Standard
C000260,28,Female,Kolkata,2025-02-16,Premium
C000261,65,Male,Delhi,2025-11-28,Gold
C000262,33,Female,Pune,2025-01-10,Gold
C000263,50,Male,Chennai,2025-05-24,Gold
C000264,26,Other,Ahmedabad,2026-03-07,Standard
C000265,23,Male,Delhi,2025-06-01,Standard
C000266,33,Male,Pune,2026-05-02,Gold
C000267,46,Male,Bangalore,2025-05-16,Standard
C000268,20,Female,Kochi,2025-01-26,Standard
C000269,37,Male,Chennai,2025-01-07,Gold
C000270,53,Male,Mumbai,2025-01-15,Standard
C000271,36,Female,Jaipur,2026-03-08,Premium
C000272,43,Female,Pune,2026-02-04,Gold
C000273,20,Male,Ahmedabad,2025-07-26,Gold
C000274,36,Male,Chennai,2025-08-04,Standard
C000275,37,Female,Kochi,2026-05-17,Gold
C000276,49,Female,Delhi,2026-04-04,Standard
C000277,24,Female,Bangalore,2025-09-16,Standard
C000278,69,Female,Mumbai,2025-11-25,Premium
C000279,58,Male,Kochi,2026-03-30,Standard
C000280,50,Female,Bangalore,2026-01-10,Gold
C000281,57,Female,Jaipur,2026-04-09,Gold
C000282,56,Female,Chennai,2025-03-16,Premium
C000283,35,Male,Kolkata,2025-08-30,Standard
C000284,57,Female,Hyderabad,2025-01-17,Standard
C000285,18,Female,Chennai,2025-09-16,Premium
C000286,28,Male,Mumbai,2025-05-03,Gold
C000287,45,Female,Kolkata,2025-11-07,Gold
C000288,42,Female,Kolkata,2025-04-21,Gold
C000289,67,Female,Jaipur,2025-09-13,Standard
C000290,40,Female,Hyderabad,2025-08-22,Standard
C000291,48,Female,Kolkata,2026-05-12,Standard
C000292,47,Female,Pune,2025-02-09,Gold
C000293,59,Male,Kochi,2025-05-02,Standard
C000294,52,Male,Kolkata,2026-03-26,Gold
C000295,24,Male,Kolkata,2026-06-03,Standard
C000296,33,Female,Kochi,2025-04-02,Standard
C000297,43,Female,Delhi,2025-12-27,Standard
C000298,65,Female,Jaipur,2025-05-03,Gold
C000299,69,Female,Kolkata,2025-12-03,Premium
C000300,66,Female,Kolkata,2026-05-28,Gold
C000301,19,Other,Hyderabad,2026-03-04,Standard
C000302,18,Male,Bangalore,2026-03-09,Standard
C000303,65,Female,Delhi,2025-01-07,Gold
C000304,29,Male,Ahmedabad,2025-04-30,Standard
C000305,22,Female,Delhi,2026-01-22,Standard
C000306,54,Female,Kochi,2025-12-16,Standard
C000307,49,Female,Hyderabad,2025-04-08,Standard
C000308,26,Male,Jaipur,2025-02-12,Standard
C000309,58,Male,Chennai,2025-07-02,Standard
C000310,52,Female,Hyderabad,2025-08-23,Standard
C000311,36,Female,Mumbai,2026-03-22,Standard
C000312,65,Male,Kochi,2025-07-19,Gold
C000313,33,Female,Bangalore,2026-05-28,Standard
C000314,20,Male,Mumbai,2026-06-10,Standard
C000315,37,Female,Mumbai,2025-08-01,Gold
C000316,41,Female,Jaipur,2026-01-13,Premium
C000317,50,Female,Ahmedabad,2026-06-30,Standard
C000318,41,Other,Chennai,2026-05-01,Standard
C000319,69,Female,Kolkata,2025-12-27,Standard
C000320,28,Female,Pune,2025-06-17,Gold
C000321,66,Male,Kolkata,2026-02-08,Premium
C000322,25,Male,Mumbai,2025-05-17,Standard
C000323,53,Male,Delhi,2025-08-21,Gold
C000324,55,Female,Pune,2025-04-25,Standard
C000325,57,Male,Jaipur,2025-09-09,Standard
C000326,37,Male,Chennai,2026-05-08,Gold
C000327,52,Male,Jaipur,2025-10-16,Standard
C000328,65,Male,Kochi,2025-02-18,Standard
C000329,42,Male,Bangalore,2026-03-28,Premium
C000330,52,Female,Mumbai,2026-05-31,Standard
C000331,42,Female,Delhi,2025-09-29,Standard
C000332,46,Female,Jaipur,2026-03-07,Standard
C000333,35,Female,Pune,2025-01-26,Standard
C000334,63,Male,Mumbai,2025-03-11,Standard
C000335,35,Female,Chennai,2025-10-20,Standard
C000336,19,Male,Delhi,2026-02-10,Gold
C000337,52,Male,Ahmedabad,2025-08-22,Premium
C000338,33,Female,Ahmedabad,2025-08-19,Standard
C000339,58,Male,Pune,2025-09-20,Standard
C000340,53,Female,Bangalore,2025-05-01,Gold
C000341,50,Male,Ahmedabad,2026-04-08,Standard
C000342,21,Female,Mumbai,2026-06-02,Standard
C000343,50,Female,Chennai,2025-01-24,Gold
C000344,31,Male,Bangalore,2026-01-12,Gold
C000345,38,Female,Kolkata,2026-05-15,Standard
C000346,65,Male,Chennai,2026-03-13,Standard
C000347,37,Female,Mumbai,2026-05-14,Standard
C000348,25,Male,Mumbai,2025-06-23,Standard
C000349,24,Female,Kochi,2026-05-24,Standard
C000350,20,Female,Bangalore,2025-11-06,Standard
C000351,34,Male,Chennai,2025-03-11,Gold
C000352,50,Female,Bangalore,2025-07-24,Premium
C000353,65,Female,Pune,2025-12-07,Premium
C000354,29,Female,Hyderabad,2025-02-01,Gold
C000355,68,Female,Bangalore,2025-02-12,Standard
C000356,39,Male,Ahmedabad,2025-04-28,Standard
C000357,39,Female,Mumbai,2025-01-15,Standard
C000358,63,Male,Kochi,2025-11-18,Standard
C000359,47,Male,Kolkata,2025-12-03,Premium
C000360,55,Other,Kochi,2026-06-16,Standard
C000361,55,Female,Chennai,2026-01-16,Gold
C000362,62,Male,Pune,2026-05-26,Premium
C000363,68,Male,Pune,2025-04-30,Gold
C000364,25,Female,Kolkata,2025-01-26,Gold
C000365,44,Male,Bangalore,2026-06-18,Standard
C000366,44,Male,Bangalore,2025-03-05,Standard
C000367,51,Male,Chennai,2026-04-05,Standard
C000368,38,Female,Chennai,2025-11-10,Gold
C000369,47,Female,Delhi,2025-08-04,Standard
C000370,50,Male,Bangalore,2026-04-01,Standard
C000371,45,Female,Chennai,2026-06-24,Standard
C000372,64,Male,Pune,2026-04-18,Standard
C000373,50,Female,Hyderabad,2025-12-25,Standard
C000374,22,Other,Mumbai,2025-05-06,Premium
C000375,65,Female,Bangalore,2025-03-28,Standard
C000376,36,Female,Delhi,2025-12-09,Standard
C000377,21,Female,Mumbai,2026-01-30,Standard
C000378,52,Female,Ahmedabad,2026-04-29,Standard
C000379,66,Female,Hyderabad,2026-04-01,Standard
C000380,34,Female,Kochi,2026-04-21,Gold
C000381,61,Male,Bangalore,2025-07-29,Gold
C000382,45,Male,Kochi,2026-06-09,Standard
C000383,47,Female,Delhi,2025-11-03,Gold
C000384,46,Female,Bangalore,2025-03-17,Premium
C000385,63,Male,Delhi,2025-01-22,Standard
C000386,70,Male,Jaipur,2025-03-01,Standard
C000387,23,Female,Delhi,2026-01-21,Standard
C000388,52,Female,Chennai,2025-02-25,Standard
C000389,58,Female,Chennai,2025-06-17,Standard
C000390,54,Female,Kochi,2026-02-16,Standard
C000391,41,Female,Jaipur,2025-07-10,Premium
C000392,46,Female,Delhi,2026-04-27,Standard
C000393,66,Female,Ahmedabad,2026-02-20,Premium
C000394,63,Female,Kochi,2025-12-06,Standard
C000395,70,Female,Mumbai,2025-09-16,Standard
C000396,48,Male,Chennai,2025-12-16,Standard
C000397,52,Male,Mumbai,2026-03-13,Gold
C000398,50,Other,Mumbai,2025-08-10,Standard
C000399,69,Male,Jaipur,2026-02-17,Gold
C000400,38,Male,Kochi,2025-12-16,Standard
C000401,49,Female,Pune,2026-04-27,Standard
C000402,40,Female,Kochi,2025-02-28,Gold
C000403,50,Male,Pune,2025-06-01,Gold
C000404,20,Male,Delhi,2026-06-24,Standard
C000405,35,Male,Pune,2025-08-13,Standard
C000406,42,Female,Bangalore,2025-11-14,Standard
C000407,59,Male,Delhi,2025-10-06,Standard
C000408,48,Male,Pune,2026-04-19,Gold
C000409,20,Male,Ahmedabad,2025-01-24,Standard
C000410,57,Female,Mumbai,2026-06-03,Gold
C000411,63,Male,Delhi,2026-01-03,Gold
C000412,41,Male,Mumbai,2025-12-01,Gold
C000413,67,Female,Kolkata,2026-03-09,Standard
C000414,49,Other,Kochi,2025-01-03,Gold
C000415,64,Female,Pune,2025-09-15,Gold
C000416,39,Other,Mumbai,2025-09-20,Gold
C000417,40,Female,Pune,2025-05-01,Gold
C000418,19,Male,Mumbai,2025-01-21,Standard
C000419,44,Female,Ahmedabad,2025-05-20,Standard
C000420,59,Male,Hyderabad,2026-04-22,Standard
C000421,19,Female,Ahmedabad,2025-10-16,Standard
C000422,43,Male,Chennai,2025-07-25,Gold
C000423,34,Male,Pune,2025-02-12,Standard
C000424,57,Female,Ahmedabad,2025-04-28,Standard
C000425,50,Male,Bangalore,2025-01-05,Standard
C000426,26,Female,Pune,2025-07-26,Standard
C000427,60,Male,Jaipur,2025-12-11,Standard
C000428,65,Male,Kochi,2025-05-22,Standard
C000429,56,Female,Kochi,2026-01-07,Gold
C000430,46,Female,Chennai,2025-08-20,Standard
C000431,59,Female,Bangalore,2025-06-13,Standard
C000432,43,Male,Chennai,2025-12-30,Standard
C000433,52,Female,Delhi,2025-12-01,Standard
C000434,67,Female,Pune,2025-01-11,Standard
C000435,42,Female,Bangalore,2026-02-12,Standard
C000436,41,Male,Kolkata,2025-03-16,Standard
C000437,30,Female,Mumbai,2025-10-27,Standard
C000438,24,Female,Jaipur,2026-01-16,Gold
C000439,53,Female,Pune,2025-01-28,Standard
C000440,62,Female,Jaipur,2026-04-08,Standard
C000441,37,Female,Bangalore,2026-01-31,Standard
C000442,18,Male,Mumbai,2026-01-11,Premium
C000443,25,Male,Chennai,2026-02-25,Gold
C000444,63,Female,Pune,2025-12-30,Standard
C000445,33,Male,Mumbai,2025-08-04,Standard
C000446,31,Male,Jaipur,2025-04-11,Standard
C000447,29,Male,Hyderabad,2025-04-03,Gold
C000448,68,Male,Bangalore,2025-09-23,Standard
C000449,40,Female,Bangalore,2025-07-25,Standard
C000450,32,Female,Jaipur,2025-03-21,Premium
C000451,45,Female,Jaipur,2025-02-06,Standard
C000452,51,Male,Delhi,2025-01-11,Standard
C000453,19,Female,Chennai,2025-03-31,Gold
C000454,49,Female,Jaipur,2025-01-19,Gold
C000455,40,Other,Ahmedabad,2026-01-09,Gold
C000456,39,Female,Kochi,2025-04-04,Gold
C000457,68,Male,Kochi,2025-02-01,Premium
C000458,42,Female,Pune,2025-05-20,Premium
C000459,39,Other,Kolkata,2025-01-21,Standard
C000460,39,Female,Pune,2025-05-29,Standard
C000461,66,Female,Delhi,2025-08-09,Standard
C000462,69,Male,Mumbai,2025-08-07,Gold
C000463,59,Female,Kolkata,2026-06-25,Standard
C000464,23,Female,Mumbai,2025-02-27,Standard
C000465,32,Male,Kochi,2026-03-01,Standard
C000466,60,Female,Kochi,2025-10-02,Standard
C000467,54,Male,Kochi,2025-05-20,Gold
C000468,50,Male,Jaipur,2025-01-23,Standard
C000469,25,Male,Delhi,2026-01-13,Gold
C000470,70,Male,Ahmedabad,2026-01-08,Standard
C000471,61,Female,Pune,2025-03-04,Standard
C000472,61,Male,Mumbai,2025-12-08,Premium
C000473,22,Male,Hyderabad,2025-06-16,Standard
C000474,56,Female,Pune,2025-05-31,Standard
C000475,21,Female,Bangalore,2026-06-07,Premium
C000476,23,Female,Chennai,2026-05-16,Standard
C000477,62,Male,Kolkata,2025-12-14,Gold
C000478,49,Female,Mumbai,2025-09-29,Gold
C000479,69,Male,Delhi,2026-03-06,Standard
C000480,47,Female,Kochi,2025-08-21,Standard
C000481,64,Male,Bangalore,2025-07-27,Standard
C000482,52,Female,Chennai,2026-03-29,Standard
C000483,57,Male,Mumbai,2026-05-16,Standard
C000484,69,Female,Ahmedabad,2025-08-07,Standard
C000485,33,Female,Kochi,2025-03-22,Gold
C000486,30,Male,Mumbai,2026-06-25,Gold
C000487,67,Male,Hyderabad,2025-09-08,Gold
C000488,59,Female,Hyderabad,2026-02-19,Standard
C000489,47,Other,Delhi,2025-03-27,Standard
C000490,36,Female,Hyderabad,2025-08-05,Standard
C000491,34,Male,Ahmedabad,2025-07-15,Premium
C000492,36,Male,Delhi,2025-10-24,Gold
C000493,45,Female,Kolkata,2025-02-13,Premium
C000494,43,Female,Ahmedabad,2026-01-28,Standard
C000495,54,Female,Delhi,2026-03-19,Standard
C000496,43,Female,Ahmedabad,2025-03-31,Standard
C000497,70,Female,Hyderabad,2025-06-04,Standard
C000498,40,Female,Kolkata,2026-04-23,Gold
C000499,26,Male,Ahmedabad,2025-02-28,Standard
C000500,29,Male,Kolkata,2025-04-20,Gold
C000501,70,Female,Chennai,2026-04-24,Gold
C000502,18,Male,Ahmedabad,2025-02-18,Standard
C000503,18,Male,Pune,2026-01-12,Premium
C000504,64,Male,Kochi,2025-02-01,Standard
C000505,51,Male,Hyderabad,2026-05-01,Gold
C000506,49,Female,Mumbai,2026-06-15,Gold
C000507,65,Female,Kolkata,2025-01-03,Standard
C000508,42,Female,Hyderabad,2026-01-13,Standard
C000509,57,Male,Bangalore,2025-08-30,Gold
C000510,62,Female,Pune,2026-06-25,Standard
C000511,70,Male,Hyderabad,2025-12-23,Premium
C000512,18,Female,Kochi,2025-07-16,Standard
C000513,33,Female,Pune,2026-02-23,Standard
C000514,56,Male,Kochi,2025-09-30,Premium
C000515,22,Female,Hyderabad,2026-05-17,Standard
C000516,39,Female,Pune,2025-02-04,Standard
C000517,46,Male,Mumbai,2026-04-06,Gold
C000518,20,Female,Mumbai,2025-09-10,Standard
C000519,29,Male,Kochi,2026-05-27,Standard
C000520,43,Male,Kochi,2025-02-17,Standard
C000521,33,Female,Chennai,2025-07-04,Gold
C000522,68,Female,Mumbai,2026-05-06,Standard
C000523,54,Female,Mumbai,2025-09-30,Gold
C000524,39,Male,Kolkata,2026-06-11,Standard
C000525,46,Male,Delhi,2025-05-08,Standard
C000526,31,Female,Ahmedabad,2025-07-29,Standard
C000527,45,Male,Kolkata,2025-05-22,Premium
C000528,22,Female,Kochi,2025-06-22,Standard
C000529,64,Female,Jaipur,2026-03-23,Standard
C000530,66,Female,Ahmedabad,2025-04-29,Standard
C000531,47,Female,Jaipur,2025-01-11,Standard
C000532,63,Male,Bangalore,2025-10-31,Standard
C000533,69,Male,Kochi,2025-06-03,Standard
C000534,22,Male,Hyderabad,2025-11-19,Standard
C000535,29,Female,Delhi,2026-06-21,Gold
C000536,33,Female,Jaipur,2026-03-21,Standard
C000537,43,Female,Ahmedabad,2025-12-08,Standard
C000538,43,Female,Kochi,2025-08-09,Standard
C000539,65,Other,Kolkata,2025-04-20,Standard
C000540,38,Male,Chennai,2026-02-14,Standard
C000541,56,Male,Pune,2026-02-22,Standard
C000542,53,Male,Mumbai,2026-05-20,Gold
