driver_id,driver_age,driver_rating,vehicle_type,city,experience_years
D00063,43,4.37,Bike,Jaipur,12.6
D00064,27,4.33,Scooter,Delhi,2.3
D00065,23,4.97,Car,Hyderabad,4.9
D00066,31,4.68,Bike,Kolkata,8.9
D00067,19,4.88,Bike,Kolkata,11.1
D00068,44,3.98,Scooter,Ahmedabad,4.0
D00069,26,4.15,Bike,Kochi,14.2
D00070,30,3.62,Scooter,Mumbai,10.6
D00071,38,4.58,Scooter,Jaipur,3.3
D00072,19,4.49,Scooter,Chennai,10.9
D00073,20,3.91,Scooter,Pune,10.4
D00074,30,3.97,Car,Hyderabad,11.3
D00075,38,4.38,Scooter,Ahmedabad,13.7
D00076,50,4.11,Scooter,Ahmedabad,10.7
D00077,37,3.92,Scooter,Pune,5.3
D00078,53,4.04,Scooter,Mumbai,11.9
D00079,35,4.04,Bike,Ahmedabad,10.4
D00080,42,4.36,Bike,Pune,8.6
D00081,55,4.11,Bike,Jaipur,5.3
D00082,42,3.05,Scooter,Kolkata,13.8
D00083,55,4.16,Scooter,Jaipur,7.7
D00084,32,3.92,Bike,Ahmedabad,9.4
D00085,34,4.47,Scooter,Mumbai,6.2
D00086,53,4.26,Bike,Pune,11.7
D00087,46,3.92,Car,Kolkata,5.1
D00088,50,3.94,Bike,Mumbai,12.2
D00089,49,4.27,Scooter,Mumbai,1.6
D00090,25,4.18,Scooter,Kochi,10.6
D00091,60,4.07,Bike,Hyderabad,7.2
D00092,30,4.15,Scooter,Kochi,10.5
D00093,34,4.36,Bike,Pune,8.0
D00094,38,3.54,Bike,Chennai,2.0
D00095,31,4.77,Scooter,Mumbai,7.2
D00096,42,4.02,Bike,Ahmedabad,14.5
D00097,41,4.66,Scooter,Hyderabad,11.3
D00098,50,5.0,Bike,Ahmedabad,4.5
D00099,25,4.42,Bike,Kolkata,14.2
D00100,45,3.43,Scooter,Kolkata,11.7
D00101,36,3.73,Scooter,Jaipur,5.5
D00102,28,4.37,Bike,Mumbai,9.1
D00103,27,3.93,Bike,Ahmedabad,6.4
D00104,18,4.79,Scooter,Chennai,1.5
D00105,22,3.9,Bike,Hyderabad,12.1
D00106,33,4.42,Car,Mumbai,2.9
D00107,37,4.16,Scooter,Jaipur,6.9
D00108,37,4.21,Bike,Bangalore,10.5
D00109,45,4.46,Scooter,Kolkata,14.0
D00110,22,2.95,Scooter,Chennai,0.9
D00111,20,4.19,Scooter,Delhi,5.9
D00112,47,4.56,Car,Bangalore,9.2
D00113,40,3.73,Car,Pune,11.7
D00114,51,4.46,Scooter,Hyderabad,13.8
D00115,45,4.11,Scooter,Pune,0.0
D00116,18,3.94,Bike,Ahmedabad,9.4
D00117,44,4.1,Bike,Ahmedabad,0.1
D00118,51,4.76,Bike,Mumbai,11.8
D00119,48,4.27,Bike,Kolkata,2.2
D00120,49,3.7,Bike,Pune,13.4
D00121,24,4.32,Car,Chennai,2.3
D00122,60,4.22,Scooter,Pune,11.5
D00123,55,4.65,Bike,Chennai,4.3
D00124,51,4.17,Bike,Mumbai,8.4
D00125,21,4.62,Scooter,Delhi,9.1
D00126,36,4.23,Bike,Jaipur,3.1
D00127,39,4.36,Bike,Hyderabad,4.5
D00128,46,3.91,Bike,Delhi,1.6
D00129,51,4.43,Bike,Chennai,0.1
D00130,51,5.0,Scooter,Hyderabad,3.6
D00131,20,4.89,Bike,Delhi,7.7
D00132,38,3.76,Bike,Kolkata,10.7
D00133,55,3.52,Bike,Pune,11.9
D00134,38,4.35,Bike,Chennai,1.0
D00135,34,4.1,Scooter,Jaipur,4.1
D00136,46,3.86,Scooter,Ahmedabad,11.6
D00137,50,5.0,Scooter,Jaipur,7.2
D00138,56,5.0,Scooter,Jaipur,2.7
D00139,43,3.47,Bike,Delhi,5.9
D00140,24,3.89,Bike,Kolkata,4.1
D00141,26,3.68,Scooter,Kolkata,0.8
D00142,35,3.87,Scooter,Kochi,11.5
D00143,18,4.65,Bike,Jaipur,4.4
D00144,28,4.3,Car,Jaipur,14.2
D00145,39,4.53,Car,Pune,13.3
D00146,49,4.73,Scooter,Hyderabad,10.7
D00147,60,4.34,Bike,Ahmedabad,4.9
D00148,27,3.82,Scooter,Bangalore,4.2
D00149,44,4.41,Scooter,Kochi,7.1
D00150,29,4.16,Bike,Mumbai,5.3
D00151,47,4.13,Scooter,Kochi,13.5
D00152,27,3.87,Bike,Chennai,1.9
D00153,29,4.58,Bike,Delhi,10.9
D00154,55,4.4,Scooter,Kolkata,9.2
D00155,38,4.54,Scooter,Bangalore,12.1
D00156,44,3.83,Scooter,Mumbai,8.1
D00157,23,4.62,Scooter,Hyderabad,9.4
D00158,55,4.34,Scooter,Mumbai,14.4
D00159,25,4.58,Scooter,Pune,1.4
D00160,54,3.89,Car,Kochi,1.6
D00161,23,4.26,Bike,Pune,5.9
D00162,51,4.66,Scooter,Bangalore,7.1
D00163,57,4.44,Scooter,Hyderabad,3.0
D00164,39,4.15,Car,Bangalore,1.2
D00165,46,4.42,Scooter,Bangalore,0.3
D00166,26,3.82,Bike,Bangalore,11.5
D00167,38,4.47,Scooter,Hyderabad,7.3
D00168,49,4.56,Scooter,Chennai,12.7
D00169,25,4.38,Bike,Mumbai,5.4
D00170,60,4.17,Bike,Kolkata,10.6
D00171,27,4.34,Scooter,Chennai,7.3
D00172,40,4.18,Bike,Chennai,9.2
D00173,37,4.13,Scooter,Kolkata,5.6
D00174,30,4.51,Bike,Jaipur,1.2
D00175,39,4.83,Scooter,Hyderabad,14.2
D00176,58,4.28,Bike,Kochi,12.5
D00177,32,3.99,Bike,Ahmedabad,4.7
D00178,48,3.82,Bike,Pune,14.4
D00179,49,3.94,Scooter,Pune,4.5
D00180,30,5.0,Scooter,Hyderabad,6.6
D00181,42,4.85,Scooter,Kochi,11.3
D00182,38,4.58,Scooter,Jaipur,4.6
D00183,21,4.71,Scooter,Jaipur,4.9
D00184,59,3.99,Scooter,Mumbai,6.2
D00185,32,4.62,Bike,Kochi,7.0
D00186,38,4.65,Bike,Pune,1.9
D00187,59,4.17,Bike,Delhi,0.3
D00188,25,3.73,Bike,Mumbai,13.8
D00189,48,3.62,Bike,Chennai,5.3
D00190,27,4.36,Bike,Mumbai,1.5
D00191,38,4.01,Scooter,Kolkata,11.4
D00192,34,4.33,Scooter,Hyderabad,4.4
D00193,22,4.09,Car,Hyderabad,2.7
D00194,30,3.76,Scooter,Hyderabad,14.4
D00195,38,4.91,Car,Jaipur,13.8
D00196,29,3.78,Bike,Bangalore,1.6
D00197,42,3.93,Bike,Delhi,13.5
D00198,45,4.2,Bike,Jaipur,13.4
D00199,19,4.26,Car,Kolkata,9.5
D00200,38,3.57,Bike,Bangalore,7.9
D00201,58,4.53,Bike,Mumbai,3.3
D00202,39,4.47,Bike,Pune,1.8
D00203,19,5.0,Bike,Delhi,9.1
D00204,47,4.32,Scooter,Chennai,12.3
D00205,18,4.16,Scooter,Bangalore,10.3
D00206,30,3.83,Scooter,Mumbai,2.7
D00207,20,3.69,Scooter,Kochi,4.4
D00208,37,4.13,Bike,Delhi,8.2
D00209,22,3.67,Bike,Mumbai,9.4
D00210,19,4.53,Scooter,Hyderabad,1.1
D00211,43,4.03,Bike,Kochi,9.2
D00212,46,4.69,Bike,Ahmedabad,11.0
D00213,35,4.32,Scooter,Pune,2.7
D00214,26,4.33,Scooter,Hyderabad,3.7
D00215,39,3.81,Bike,Pune,3.9
D00216,45,4.46,Scooter,Kochi,14.1
D00217,29,4.37,Bike,Ahmedabad,6.1
D00218,54,3.43,Scooter,Kolkata,8.0
D00219,35,4.71,Scooter,Bangalore,10.9
D00220,51,4.55,Scooter,Pune,5.6
D00221,59,3.88,Bike,Bangalore,1.6
D00222,59,4.57,Scooter,Mumbai,9.8
D00223,20,4.03,Bike,Kochi,10.0
D00224,22,3.94,Bike,Hyderabad,3.9
D00225,40,4.34,Bike,Kolkata,0.5
D00226,30,4.59,Bike,Chennai,10.0
D00227,41,4.81,Bike,Mumbai,10.6
D00228,45,4.9,Bike,Delhi,0.4
D00229,34,3.56,Bike,Chennai,10.4
D00230,23,3.5,Scooter,Jaipur,14.1
D00231,44,4.03,Bike,Chennai,2.7
D00232,46,3.84,Bike,Pune,7.8
D00233,29,5.0,Scooter,Ahmedabad,10.5
D00234,52,4.31,Bike,Kolkata,3.5
D00235,22,4.12,Bike,Pune,11.3
D00236,19,3.98,Bike,Ahmedabad,13.0
D00237,28,4.28,Bike,Delhi,12.2
D00238,21,3.35,Scooter,Kochi,3.9
D00239,39,4.56,Bike,Jaipur,12.1
D00240,18,4.76,Bike,Chennai,6.2
D00241,33,3.51,Bike,Pune,4.0
D00242,19,4.43,Bike,Kochi,2.5
D00243,58,4.38,Bike,Kolkata,13.6
D00244,44,4.41,Bike,Jaipur,6.4
D00245,29,4.41,Scooter,Delhi,13.0
D00246,22,3.78,Scooter,Pune,2.4
D00247,22,4.14,Scooter,Jaipur,11.5
D00248,39,4.55,Scooter,Kochi,1.7
D00249,30,3.52,Scooter,Pune,0.3
D00250,33,4.25,Bike,Bangalore,14.9
D00251,43,4.43,Bike,Mumbai,1.1
D00252,26,4.06,Bike,Mumbai,6.9
D00253,49,4.39,Bike,Hyderabad,13.2
D00254,36,4.22,Car,Ahmedabad,12.3
D00255,53,4.11,Scooter,Pune,7.1
D00256,45,4.03,Bike,Kolkata,9.2
D00257,32,4.71,Bike,Jaipur,9.4
D00258,26,4.15,Scooter,Ahmedabad,1.6
D00259,33,3.86,Scooter,Hyderabad,4.3
D00260,23,3.69,Bike,Mumbai,4.5
D00261,25,3.6,Bike,Bangalore,5.7
D00262,50,3.62,Bike,Mumbai,4.1
D00263,49,4.02,Scooter,Jaipur,3.8
D00264,53,4.15,Bike,Delhi,5.3
D00265,59,4.08,Scooter,Hyderabad,5.7
D00266,53,3.87,Scooter,Chennai,7.3
D00267,51,3.98,Scooter,Pune,2.6
D00268,19,4.47,Bike,Mumbai,11.8
D00269,30,4.61,Scooter,Pune,12.9
D00270,60,4.88,Scooter,Hyderabad,3.7
D00271,27,4.22,Bike,Hyderabad,1.8
D00272,55,4.73,Bike,Bangalore,10.8
D00273,24,4.26,Car,Jaipur,13.9
D00274,20,4.78,Bike,Kolkata,0.5
D00275,44,4.44,Scooter,Jaipur,0.2
D00276,31,4.22,Scooter,Bangalore,2.8
D00277,47,3.4,Bike,Ahmedabad,10.3
D00278,51,4.14,Scooter,Chennai,14.5
D00279,40,3.88,Bike,Hyderabad,11.3
D00280,34,4.05,Bike,Bangalore,8.6
D00281,32,4.7,Scooter,Kolkata,10.5
D00282,24,4.37,Scooter,Delhi,3.5
D00283,20,4.6,Scooter,Hyderabad,10.3
D00284,26,4.43,Scooter,Mumbai,4.8
D00285,20,3.81,Bike,Kochi,3.3
D00286,52,4.97,Scooter,Pune,3.5
D00287,57,4.13,Bike,Pune,10.0
D00288,25,4.62,Bike,Chennai,11.5
D00289,43,4.85,Scooter,Kolkata,8.7
D00290,32,3.66,Bike,Chennai,1.0
D00291,22,4.16,Bike,Jaipur,0.6
D00292,30,4.48,Scooter,Chennai,3.3
D00293,32,4.09,Car,Delhi,4.3
D00294,56,5.0,Bike,Ahmedabad,6.1
D00295,29,4.31,Scooter,Ahmedabad,1.1
D00296,52,4.45,Bike,Mumbai,10.9
D00297,25,4.93,Scooter,Kolkata,10.7
D00298,27,3.65,Bike,Ahmedabad,5.2
D00299,51,4.02,Bike,Ahmedabad,8.4
D00300,25,3.82,Scooter,Delhi,1.5
D00301,39,4.37,Bike,Kochi,6.2
D00302,29,4.85,Bike,Chennai,12.9
D00303,39,3.78,Bike,Chennai,9.9
D00304,44,3.64,Car,Delhi,1.6
D00305,35,4.27,Scooter,Mumbai,12.7
D00306,36,4.74,Scooter,Mumbai,10.2
D00307,22,3.88,Bike,Hyderabad,6.8
D00308,33,3.79,Car,Jaipur,10.4
D00309,58,4.83,Scooter,Ahmedabad,2.6
D00310,27,4.12,Bike,Mumbai,8.3
D00311,36,4.45,Scooter,Kolkata,9.3
D00312,18,4.75,Scooter,Ahmedabad,13.9
D00313,39,4.41,Scooter,Pune,1.0
D00314,34,4.21,Scooter,Chennai,5.6
D00315,52,3.81,Scooter,Ahmedabad,14.1
D00316,56,3.99,Car,Hyderabad,3.3
D00317,26,4.34,Bike,Mumbai,12.2
D00318,22,4.7,Car,Mumbai,0.0
D00319,26,4.01,Scooter,Kolkata,0.4
D00320,28,3.96,Bike,Ahmedabad,4.9
D00321,31,4.39,Bike,Jaipur,11.5
D00322,57,3.89,Bike,Bangalore,1.6
D00323,41,4.38,Scooter,Bangalore,5.7
D00324,37,3.86,Scooter,Kolkata,2.0
D00325,50,4.3,Bike,Mumbai,3.4
D00326,21,4.07,Bike,Kochi,7.5
D00327,33,4.25,Car,Ahmedabad,4.8
D00328,42,4.52,Scooter,Delhi,3.2
D00329,18,4.16,Bike,Bangalore,5.9
D00330,41,4.36,Scooter,Chennai,10.5
D00331,20,3.92,Car,Kochi,1.8
D00332,49,3.98,Bike,Hyderabad,7.2
D00333,51,3.76,Bike,Chennai,4.1
D00334,42,4.18,Scooter,Jaipur,5.7
D00335,60,4.32,Scooter,Kolkata,12.3
D00336,20,4.35,Bike,Chennai,13.9
D00337,24,4.88,Car,Kolkata,3.6
D00338,59,4.39,Scooter,Kochi,9.4
D00339,52,4.03,Bike,Bangalore,10.2
D00340,46,5.0,Bike,Delhi,12.6
D00341,57,3.89,Scooter,Delhi,13.5
D00342,42,4.28,Bike,Jaipur,7.0
D00343,45,4.64,Scooter,Mumbai,14.7
D00344,41,4.42,Bike,Mumbai,14.6
D00345,22,3.36,Scooter,Pune,7.6
D00346,44,4.47,Scooter,Chennai,8.1
D00347,27,3.98,Scooter,Kochi,10.0
D00348,29,3.9,Scooter,Pune,5.6
D00349,35,3.53,Bike,Kolkata,9.9
D00350,55,4.26,Bike,Mumbai,7.7
D00351,25,4.02,Scooter,Kochi,0.5
D00352,55,4.34,Bike,Jaipur,12.8
D00353,47,3.85,Bike,Delhi,14.1
D00354,26,5.0,Scooter,Hyderabad,0.4
D00355,60,4.04,Scooter,Jaipur,11.8
D00356,42,4.66,Scooter,Bangalore,5.8
D00357,47,4.66,Scooter,Ahmedabad,8.8
D00358,19,4.59,Car,Bangalore,7.5
D00359,34,3.86,Scooter,Kochi,8.3
D00360,24,4.97,Scooter,Ahmedabad,7.4
D00361,39,4.31,Bike,Delhi,12.8
D00362,27,4.36,Bike,Kolkata,10.3
D00363,43,4.17,Scooter,Ahmedabad,6.2
D00364,30,4.2,Bike,Bangalore,10.3
D00365,59,4.22,Scooter,Bangalore,14.5
D00366,45,3.59,Car,Kolkata,1.2
D00367,53,4.3,Bike,Bangalore,5.8
D00368,28,4.52,Bike,Mumbai,13.1
D00369,26,3.97,Scooter,Pune,11.1
D00370,33,4.16,Bike,Chennai,14.0
D00371,34,3.52,Scooter,Kochi,0.6
D00372,22,4.64,Bike,Delhi,12.9
D00373,22,4.82,Scooter,Kochi,11.9
D00374,55,4.29,Bike,Kochi,12.2
D00375,48,4.34,Bike,Kochi,9.0
D00376,19,4.32,Bike,Pune,0.8
D00377,44,4.5,Bike,Delhi,8.1
D00378,60,4.3,Bike,Kochi,6.1
D00379,36,4.61,Bike,Ahmedabad,7.9
D00380,60,4.47,Scooter,Mumbai,11.1
D00381,42,4.51,Bike,Ahmedabad,8.9
D00382,55,4.35,Scooter,Hyderabad,4.4
D00383,30,4.49,Car,Kolkata,9.0
D00384,46,3.89,Bike,Delhi,1.2
D00385,36,3.43,Scooter,Delhi,0.1
D00386,52,4.17,Bike,Pune,6.0
D00387,42,4.94,Scooter,Delhi,11.4
D00388,26,4.47,Car,Bangalore,12.3
D00389,52,4.49,Scooter,Jaipur,8.2
D00390,32,3.8,Bike,Mumbai,13.0
D00391,39,4.38,Scooter,Delhi,1.9
D00392,30,3.76,Scooter,Bangalore,14.5
D00393,47,4.19,Bike,Hyderabad,13.8
D00394,38,4.1,Bike,Hyderabad,9.0
D00395,42,4.39,Scooter,Ahmedabad,0.9
D00396,42,4.21,Scooter,Ahmedabad,6.8
D00397,57,4.56,Scooter,Jaipur,2.7
D00398,39,4.61,Scooter,Kochi,9.4
D00399,58,4.69,Car,Kolkata,2.8
D00400,20,5.0,Scooter,Pune,7.2
D00401,26,3.9,Scooter,Ahmedabad,3.1
D00402,41,4.04,Scooter,Hyderabad,2.7
D00403,49,4.05,Bike,Kochi,3.7
D00404,34,3.42,Bike,Kochi,0.4
D00405,58,4.31,Car,Kochi,10.7
D00406,41,4.16,Car,Ahmedabad,4.6
D00407,25,4.66,Scooter,Hyderabad,10.5
D00408,23,4.57,Bike,Chennai,9.8
D00409,26,4.38,Scooter,Jaipur,1.0
D00410,32,4.31,Scooter,Bangalore,4.7
D00411,41,3.98,Bike,Kochi,8.5
D00412,28,4.28,Bike,Kochi,13.8
D00413,48,4.35,Bike,Chennai,6.0
D00414,30,4.19,Bike,Kolkata,7.6
D00415,47,4.19,Car,Bangalore,11.3
D00416,42,4.26,Bike,Delhi,12.0
D00417,29,4.28,Scooter,Jaipur,13.9
D00418,38,4.56,Scooter,Jaipur,7.5
D00419,41,3.15,Scooter,Mumbai,2.9
D00420,43,4.31,Scooter,Kochi,11.5
D00421,29,4.3,Scooter,Chennai,1.9
D00422,54,4.54,Bike,Jaipur,6.3
D00423,38,4.16,Scooter,Mumbai,9.4
D00424,40,3.36,Bike,Hyderabad,10.4
D00425,18,3.47,Scooter,Hyderabad,11.0
D00426,27,3.37,Bike,Kolkata,2.9
D00427,52,4.61,Scooter,Chennai,14.7
D00428,55,3.62,Scooter,Delhi,2.7
D00429,45,4.73,Bike,Chennai,1.4
D00430,18,4.05,Bike,Kolkata,10.0
D00431,25,4.11,Scooter,Kolkata,13.6
D00432,58,4.9,Scooter,Hyderabad,8.4
D00433,40,4.31,Bike,Hyderabad,8.9
D00434,37,3.65,Bike,Ahmedabad,8.1
D00435,49,4.25,Bike,Kolkata,0.6
D00436,40,4.58,Bike,Mumbai,10.2
D00437,24,3.99,Scooter,Chennai,5.4
D00438,28,4.93,Scooter,Hyderabad,14.0
D00439,25,3.7,Bike,Hyderabad,2.8
D00440,60,3.36,Car,Delhi,4.5
D00441,31,4.9,Bike,Kolkata,7.6
D00442,31,3.86,Bike,Mumbai,7.2
D00443,53,3.81,Bike,Bangalore,6.0
D00444,58,4.0,Bike,Hyderabad,4.7
D00445,57,3.81,Bike,Hyderabad,2.2
D00446,44,4.56,Bike,Bangalore,12.3
D00447,37,4.01,Scooter,Ahmedabad,6.7
D00448,55,3.72,Bike,Mumbai,8.6
D00449,42,4.09,Bike,Delhi,8.2
D00450,46,3.84,Scooter,Hyderabad,8.6
D00451,31,4.18,Scooter,Mumbai,10.6
D00452,45,3.82,Bike,Bangalore,9.4
D00453,47,4.12,Bike,Mumbai,4.1
D00454,32,4.13,Bike,Chennai,8.3
D00455,38,4.95,Bike,Kochi,3.7
D00456,29,4.67,Bike,Pune,8.8
D00457,28,4.27,Bike,Chennai,6.5
D00458,56,4.08,Bike,Jaipur,0.6
D00459,23,4.07,Scooter,Chennai,11.0
D00460,20,4.25,Bike,Mumbai,4.1
D00461,58,3.86,Scooter,Mumbai,13.8
D00462,32,4.05,Bike,Bangalore,4.2
D00463,51,4.1,Bike,Kolkata,14.9
D00464,21,4.19,Scooter,Bangalore,6.9
D00465,51,4.26,Bike,Ahmedabad,0.4
D00466,55,4.49,Bike,Hyderabad,1.1
D00467,56,4.57,Car,Ahmedabad,1.2
D00468,58,4.42,Scooter,Ahmedabad,0.8
D00469,23,4.9,Scooter,Kochi,4.0
D00470,39,4.46,Bike,Kochi,4.9
D00471,54,4.18,Scooter,Delhi,1.7
D00472,49,4.17,Bike,Hyderabad,6.6
D00473,45,4.56,Bike,Jaipur,5.5
D00474,43,4.1,Bike,Bangalore,9.5
D00475,21,4.36,Scooter,Bangalore,2.9
D00476,27,4.4,Scooter,Chennai,13.7
D00477,44,3.21,Scooter,Kochi,7.7
D00478,37,3.6,Scooter,Pune,9.4
D00479,53,4.55,Bike,Chennai,0.6
D00480,22,4.38,Scooter,Mumbai,8.4
D00481,34,3.1,Car,Pune,5.5
D00482,49,3.12,Scooter,Chennai,13.9
D00483,52,4.78,Bike,Mumbai,13.3
D00484,40,4.46,Scooter,Kolkata,9.6
D00485,30,4.75,Scooter,Bangalore,11.5
D00486,18,3.81,Bike,Jaipur,9.7
D00487,48,3.95,Bike,Kochi,0.3
D00488,36,4.93,Bike,Kochi,10.5
D00489,40,4.36,Scooter,Kolkata,2.7
D00490,51,4.23,Bike,Jaipur,10.2
D00491,21,4.14,Bike,Kolkata,0.2
D00492,51,3.51,Car,Bangalore,4.7
D00493,47,4.65,Scooter,Kolkata,7.8
D00494,27,3.41,Scooter,Jaipur,5.0
D00495,23,4.46,Scooter,Ahmedabad,10.4
D00496,29,4.23,Scooter,Mumbai,7.8
D00497,29,4.32,Scooter,Delhi,14.4
D00498,35,3.96,Scooter,Hyderabad,5.4
D00499,53,4.78,Scooter,Kochi,10.8
D00500,52,3.97,Bike,Kochi,12.5
D00501,42,4.19,Bike,Chennai,3.8
D00502,58,4.21,Scooter,Hyderabad,11.3
D00503,39,4.07,Scooter,Kolkata,5.9
D00504,47,4.36,Scooter,Ahmedabad,1.9
D00505,46,4.49,Scooter,Chennai,0.1
D00506,24,4.16,Bike,Jaipur,11.2
D00507,57,4.45,Bike,Mumbai,2.8
D00508,20,4.46,Scooter,Chennai,0.8
D00509,38,4.36,Car,Kolkata,7.5
D00510,37,4.8,Scooter,Chennai,5.2
D00511,26,4.85,Bike,Kolkata,10.4
D00512,58,4.04,Bike,Ahmedabad,1.6
D00513,53,4.08,Bike,Jaipur,2.0
D00514,31,4.48,Bike,Bangalore,6.1
D00515,35,4.17,Bike,Chennai,7.8
D00516,50,4.32,Car,Chennai,12.4
D00517,19,3.73,Car,Kolkata,8.8
D00518,54,4.09,Bike,Pune,13.5
D00519,48,4.23,Scooter,Jaipur,3.3
D00520,39,3.83,Scooter,Hyderabad,8.9
D00521,26,3.54,Scooter,Ahmedabad,9.8
D00522,37,4.71,Scooter,Delhi,10.9
D00523,37,3.58,Scooter,Delhi,14.8
D00524,18,4.82,Bike,Kochi,7.0
D00525,47,4.65,Car,Delhi,5.5
D00526,36,4.32,Scooter,Ahmedabad,12.8
D00527,53,4.38,Scooter,Kolkata,2.7
D00528,31,4.5,Bike,Kolkata,0.6
D00529,18,4.03,Car,Mumbai,6.7
D00530,22,4.05,Bike,Pune,3.7
D00531,27,4.12,Car,Bangalore,5.9
D00532,26,4.34,Car,Pune,14.8
D00533,31,3.93,Scooter,Delhi,5.2
D00534,56,4.0,Scooter,Bangalore,10.6
D00535,35,5.0,Scooter,Bangalore,3.8
D00536,59,4.32,Car,Hyderabad,4.6
D00537,42,3.74,Car,Mumbai,3.6
D00538,53,4.54,Scooter,Bangalore,8.6
D00539,48,4.09,Bike,Kochi,3.4
D00540,52,3.96,Bike,Kolkata,10.8
D00541,44,5.0,Scooter,Chennai,10.2
D00542,39,4.23,Scooter,Mumbai,6.3
D00543,28,3.88,Bike,Jaipur,0.4
D00544,27,3.97,Bike,Ahmedabad,0.3
D00545,25,4.26,Bike,Chennai,8.0
D00546,58,4.26,Scooter,Jaipur,12.6
D00547,45,4.39,Scooter,Bangalore,9.0
D00548,40,3.52,Bike,Pune,6.5
D00549,23,3.75,Scooter,Hyderabad,13.2
D00550,31,4.12,Car,Bangalore,3.0
D00551,41,3.99,Bike,Ahmedabad,5.4
D00552,26,3.77,Bike,Pune,8.5
D00553,57,4.35,Bike,Mumbai,4.4
D00554,55,4.38,Scooter,Hyderabad,15.0
D00555,42,4.89,Car,Kochi,6.8
D00556,55,4.48,Bike,Chennai,0.8
D00557,47,4.39,Bike,Delhi,2.6
D00558,39,4.13,Bike,Ahmedabad,8.0
D00559,19,5.0,Scooter,Ahmedabad,8.3
D00560,42,4.07,Scooter,Hyderabad,14.8
D00561,41,4.06,Bike,Jaipur,9.0
D00562,54,4.59,Scooter,Kochi,10.0
D00563,20,3.56,Car,Delhi,3.2
D00564,60,4.17,Bike,Kolkata,1.6
D00565,43,4.24,Scooter,Jaipur,9.0
D00566,47,4.04,Bike,Kolkata,13.0
D00567,46,4.62,Bike,Kochi,8.8
D00568,24,4.4,Bike,Hyderabad,6.6
D00569,26,4.32,Scooter,Chennai,8.7
D00570,47,4.23,Bike,Kolkata,7.0
D00571,33,4.06,Scooter,Kochi,2.1
D00572,57,3.37,Scooter,Ahmedabad,11.1
D00573,31,4.42,Scooter,Mumbai,8.0
D00574,43,4.58,Scooter,Bangalore,6.0
D00575,54,4.2,Bike,Pune,8.4
D00576,27,3.6,Scooter,Jaipur,3.6
